account,type
現金預金,流動資産
受取手形,流動資産
電子記録債権,流動資産
不渡手形,流動資産
売掛金,流動資産
クレジット売掛金,流動資産
契約資産,流動資産
売買目的有価証券（有価証券）,流動資産
商品,流動資産
繰越商品,流動資産
製品,流動資産
仕掛品,流動資産
貯蔵品,流動資産
消耗品,流動資産
受取商品券,流動資産
前払金（前渡金）,流動資産
前払費用,流動資産
前払保険料,流動資産
前払利息,流動資産
未収入金（未収金）,流動資産
未収利息,流動資産
未収地代,流動資産
未収消費税,流動資産
短期貸付金,流動資産
仮払金,流動資産
仮払消費税,流動資産
仮払法人税等,流動資産
仮払従業員立替金,流動資産
建物,固定資産
構築物,固定資産
機械装置,固定資産
船舶,固定資産
車両運搬具,固定資産
備品,固定資産
工具器具備品,固定資産
土地,固定資産
リース資産,固定資産
建設仮勘定,固定資産
のれん,固定資産
特許権,固定資産
実用新案権,固定資産
商標権,固定資産
意匠権,固定資産
借地権,固定資産
鉱業権,固定資産
ソフトウェア,固定資産
満期保有目的の債券（投資有価証券）,固定資産
その他有価証券（投資有価証券）,固定資産
長期貸付金,固定資産
子会社株式,固定資産
関連会社株式,固定資産
破産更生債権等,固定資産
長期前払保険料,固定資産
長期前払費用（前払〇〇）,固定資産
繰延税金資産,固定資産
支払手形,流動負債
電子記録債務,流動負債
買掛金,流動負債
短期借入金,流動負債
リース債務（1年未満）,流動負債
未払金,流動負債
未払法人税等,流動負債
未払消費税,流動負債
未払配当金,流動負債
未払利息,流動負債
未収収益,流動負債
前受金,流動負債
仮受金,流動負債
社債,固定負債
長期借入金,固定負債
リース債務（1年越）,固定負債
退職給付引当金,固定負債
繰延税金負債,固定負債
資本金,純資産
資本準備金,純資産
その他資本剰余金,純資産
利益準備金,純資産
その他利益剰余金,純資産
任意積立金,純資産
新築積立金,純資産
配当平均積立金,純資産
減債積立金,純資産
別途積立金,純資産
繰越利益剰余金,純資産
△ 自己株式,純資産
その他有価証券評価差額金,純資産
新株予約権,純資産
仕入,営業費用
売上原価,営業費用
役員報酬,販売費および一般管理費
給料,販売費および一般管理費
役員給与,販売費および一般管理費
退職給付費用,販売費および一般管理費
従業員賞与,販売費および一般管理費
賞与引当金繰入,販売費および一般管理費
役員賞与,販売費および一般管理費
役員賞与引当金繰入,販売費および一般管理費
発送費,販売費および一般管理費
広告宣伝費,販売費および一般管理費
旅費交通費,販売費および一般管理費
通信費,販売費および一般管理費
支払手数料,販売費および一般管理費
貸倒引当金繰入,販売費および一般管理費
貸倒損失,販売費および一般管理費
製品保証引当金繰入,販売費および一般管理費
のれん償却,販売費および一般管理費
開発費,販売費および一般管理費
特許権償却,販売費および一般管理費
鉱業権償却,販売費および一般管理費
減価償却費,販売費および一般管理費
研究開発費,販売費および一般管理費
修繕費,販売費および一般管理費
修繕引当金繰入,販売費および一般管理費
消耗品費,販売費および一般管理費
保険料,販売費および一般管理費
水道光熱費,販売費および一般管理費
支払家賃,販売費および一般管理費
支払地代,販売費および一般管理費
事業税,販売費および一般管理費
固定資産税,販売費および一般管理費
印紙税,販売費および一般管理費
租税公課,販売費および一般管理費
商品評価損※,販売費および一般管理費
棚卸減耗損※,販売費および一般管理費
支払利息,営業外費用
手形売却損,営業外費用
電子記録債権売却損,営業外費用
保証債務費用,営業外費用
有価証券評価損,営業外費用
有価証券売却損,営業外費用
創立費,営業外費用
開業費,営業外費用
株式交付費,営業外費用
雑損（雑損失）,営業外費用
固定資産売却損,特別損失
固定資産除却損,特別損失
子会社株式評価損,特別損失
投資有価証券評価損,特別損失
投資有価証券売却損,特別損失
債務保証損失引当金繰入,特別損失
災害損失,特別損失
売上,営業収益
工事収益,営業収益
役務収益,営業収益
受取手数料,営業外収益
受取家賃,営業外収益
受取利息,営業外収益
受取地代,営業外収益
受取配当金,営業外収益
有価証券利息,営業外収益
仕入割引,営業外収益
保証債務取崩益,営業外収益
有価証券評価益,営業外収益
有価証券売却益,営業外収益
償却債権取立益,営業外収益
雑益（雑収入）,営業外収益
固定資産売却益,特別利益
固定資産除却益,特別利益
投資有価証券売却益,特別利益
負ののれん発生益,特別利益
新株予約権戻入益,特別利益
貸倒引当金,その他
減価償却累計額,その他
支店,その他
本店,その他
現金過不足,その他
為替差損,その他
為替差益,その他
法人税等調整額,その他
保証債務見返,その他
